id,Judul Berita,Isi Berita,Kategori Berita,Judul_Bersih,Judul_Final,Judul_Baku,Judul_Stemmed,Judul_Tokenized
437,Video: Momen Pecco Bagnaia hingga Bastianini Tiba di Lombok,,Olahraga,video momen pecco bagnaia bastianini lombok,video momen pecco bagnaia bastianini lombok,video momen pecco bagnaia bastianini lombok,video momen pecco bagnaia bastianini lombok,"['video', 'momen', 'pecco', 'bagnaia', 'bastianini', 'lombok']"
438,Mandalika Siapkan Kejutan untuk Juara Dunia MotoGP 2025,,Olahraga,mandalika siapkan kejutan juara dunia motogp,mandalika siapkan kejutan juara dunia motogp,mandalika siapkan kejutan juara dunia motogp,mandalika siap kejut juara dunia motogp,"['mandalika', 'siap', 'kejut', 'juara', 'dunia', 'motogp']"
439,"Yuk Lari Sambil Seru-seruan di Nuanu Fun Run 2025, Ada Games-Doorprize!",,Olahraga,yuk lari nuanu fun run,yuk lari nuanu fun run,yuk lari nuanu fun run,yuk lari nuanu fun run,"['yuk', 'lari', 'nuanu', 'fun', 'run']"
440,"Nuanu Fun Run 2025 Siap Digelar, Penuh Kostum Lucu & Hiburan Seru",,Olahraga,nuanu fun run digelar penuh kostum lucu hiburan seru,nuanu fun run digelar penuh kostum lucu hiburan seru,nuanu fun run digelar penuh kostum lucu hiburan seru,nuanu fun run gelar penuh kostum lucu hibur seru,"['nuanu', 'fun', 'run', 'gelar', 'penuh', 'kostum', 'lucu', 'hibur', 'seru']"
441,Potret Kedatangan Pembalap MotoGP di Bandara Lombok Jelang Seri Mandalika,,Olahraga,potret kedatangan pembalap motogp bandara lombok jelang seri mandalika,potret kedatangan pembalap motogp bandara lombok jelang seri mandalika,potret kedatangan pembalap motogp bandara lombok jelang seri mandalika,potret datang balap motogp bandara lombok jelang seri mandalika,"['potret', 'datang', 'balap', 'motogp', 'bandara', 'lombok', 'jelang', 'seri', 'mandalika']"
442,Video: Erick Thohir Usulkan Dana Pensiun Atlet-Pelatih Berprestasi,,Olahraga,video erick thohir usulkan dana pensiun berprestasi,video erick thohir usulkan dana pensiun berprestasi,video erick thohir usulkan dana pensiun berprestasi,video erick thohir usul dana pensiun prestasi,"['video', 'erick', 'thohir', 'usul', 'dana', 'pensiun', 'prestasi']"
443,Sensasi Lari Indoor Seru Bareng RunBeat in The Mall 2025 di TSM Cibubur,,Olahraga,sensasi lari indoor seru bareng runbeat in the mall tsm cibubur,sensasi lari indoor seru bareng runbeat in the mall tsm cibubur,sensasi lari indoor seru bareng runbeat in the mall tsm cibubur,sensasi lari indoor seru bareng runbeat in the mall tsm cibubur,"['sensasi', 'lari', 'indoor', 'seru', 'bareng', 'runbeat', 'in', 'the', 'mall', 'tsm', 'cibubur']"
444,Video: Erick Thohir Ungkap Prabowo Mau Evaluasi-Transformasi Total Kemenpora,,Olahraga,video erick thohir prabowo total kemenpora,video erick thohir prabowo total kemenpora,video erick thohir prabowo total kemenpora,video erick thohir prabowo total kemenpora,"['video', 'erick', 'thohir', 'prabowo', 'total', 'kemenpora']"
445,Momen Rapat Perdana Menpora Erick Thohir dengan Komisi X DPR,,Olahraga,momen rapat perdana menpora erick thohir komisi x dpr,momen rapat perdana menpora erick thohir komisi x dpr,momen rapat perdana menpora erick thohir komisi x dpr,momen rapat perdana menpora erick thohir komisi x dpr,"['momen', 'rapat', 'perdana', 'menpora', 'erick', 'thohir', 'komisi', 'x', 'dpr']"
446,"Sudah Kunci Juara Dunia, Marc Marquez Kini 'Ditantang' Sirkuit Mandalika",,Olahraga,kunci juara dunia marc marquez sirkuit mandalika,kunci juara dunia marc marquez sirkuit mandalika,kunci juara dunia marc marquez sirkuit mandalika,kunci juara dunia marc marquez sirkuit mandalika,"['kunci', 'juara', 'dunia', 'marc', 'marquez', 'sirkuit', 'mandalika']"
447,Canda Quartararo ke Marquez: Besok Pelan-pelan ya Balapannya,,Olahraga,canda quartararo marquez besok ya balapannya,canda quartararo marquez besok ya balapannya,canda quartararo marquez besok ya balapannya,canda quartararo marquez besok ya balap,"['canda', 'quartararo', 'marquez', 'besok', 'ya', 'balap']"
448,"Marc Marquez Mau Dikenang sebagai Sosok Inspiratif, Bukan GOAT",,Olahraga,marc marquez dikenang sosok inspiratif goat,marc marquez dikenang sosok inspiratif goat,marc marquez dikenang sosok inspiratif goat,marc marquez kenang sosok inspiratif goat,"['marc', 'marquez', 'kenang', 'sosok', 'inspiratif', 'goat']"
449,Pelatih di PBSI Pastikan Tak Rombak Ganda Putri Lagi hingga Olimpiade,,Olahraga,pelatih pbsi pastikan rombak ganda putri olimpiade,pelatih pbsi pastikan rombak ganda putri olimpiade,pelatih pbsi pastikan rombak ganda putri olimpiade,latih pbsi pasti rombak ganda putri olimpiade,"['latih', 'pbsi', 'pasti', 'rombak', 'ganda', 'putri', 'olimpiade']"
450,Jadwal MotoGP Mandalika 2025: Balapan di Indonesia Akhir Pekan Ini,,Olahraga,jadwal motogp mandalika balapan indonesia pekan,jadwal motogp mandalika balapan indonesia pekan,jadwal motogp mandalika balapan indonesia pekan,jadwal motogp mandalika balap indonesia pekan,"['jadwal', 'motogp', 'mandalika', 'balap', 'indonesia', 'pekan']"
451,"Bagi Marquez yang Terpenting Bukan Samai Trofi Rossi, tapi...",,Olahraga,marquez terpenting samai trofi rossi,marquez terpenting samai trofi rossi,marquez terpenting samai trofi rossi,marquez penting sama trofi rossi,"['marquez', 'penting', 'sama', 'trofi', 'rossi']"
452,"Timnas Basket 3x3 U-17 Putri Juara, Ukir Sejarah di Singapura",,Olahraga,timnas basket putri juara ukir sejarah singapura,timnas basket putri juara ukir sejarah singapura,timnas basket putri juara ukir sejarah singapura,timnas basket putri juara ukir sejarah singapura,"['timnas', 'basket', 'putri', 'juara', 'ukir', 'sejarah', 'singapura']"
453,"WEC 2025: Dapat Penalti, United Autosports 95 Cuma Finis ke-11",,Olahraga,wec penalti united autosports finis,wec penalti united autosports finis,wec penalti united autosports finis,wec penalti united autosports finis,"['wec', 'penalti', 'united', 'autosports', 'finis']"
454,Alex Marquez: Aku Paling Tahu Penderitaan Marc Marquez,,Olahraga,alex marquez penderitaan marc marquez,alex marquez penderitaan marc marquez,alex marquez penderitaan marc marquez,alex marquez derita marc marquez,"['alex', 'marquez', 'derita', 'marc', 'marquez']"
