id,Judul Berita,Isi Berita,Kategori Berita,Judul_Bersih,Judul_Final,Judul_Baku,Judul_Stemmed,Judul_Tokenized
611,Hasil China Masters 2025: Fajar/Fikri Lanjut ke Semifinal!,,Olahraga,hasil china masters semifinal,hasil china masters semifinal,hasil china masters semifinal,hasil china masters semifinal,"['hasil', 'china', 'masters', 'semifinal']"
612,Janji Manis Erick Thohir Tak Berpihak pada Satu Cabor,,Olahraga,janji manis erick thohir berpihak cabor,janji manis erick thohir berpihak cabor,janji manis erick thohir berpihak cabor,janji manis erick thohir pihak cabor,"['janji', 'manis', 'erick', 'thohir', 'pihak', 'cabor']"
613,"Kelakar Dito di Pelantikan Erick Thohir: Ijazahnya Aman, Pak Roy Suryo?",,Olahraga,kelakar dito pelantikan erick thohir ijazahnya aman roy suryo,kelakar dito pelantikan erick thohir ijazahnya aman roy suryo,kelakar dito pelantikan erick thohir ijazahnya aman roy suryo,kelakar dito lantik erick thohir ijazah aman roy suryo,"['kelakar', 'dito', 'lantik', 'erick', 'thohir', 'ijazah', 'aman', 'roy', 'suryo']"
614,Ketum Binaraga Fitnes Anggap Erick Pantas Jadi Menpora,,Olahraga,ketum binaraga fitnes anggap erick menpora,ketum binaraga fitnes anggap erick menpora,ketum binaraga fitnes anggap erick menpora,tum binaraga fitnes anggap erick menpora,"['tum', 'binaraga', 'fitnes', 'anggap', 'erick', 'menpora']"
615,"Sarat Pengalaman, Erick Diharapkan Bisa Memajukan Olahraga Nasional",,Olahraga,sarat pengalaman erick diharapkan memajukan olahraga nasional,sarat pengalaman erick diharapkan memajukan olahraga nasional,sarat pengalaman erick diharapkan memajukan olahraga nasional,sarat alam erick harap maju olahraga nasional,"['sarat', 'alam', 'erick', 'harap', 'maju', 'olahraga', 'nasional']"
616,Hasil China Masters 2025: Leo/Bagas ke 8 Besar usai Tundukkan Malaysia,,Olahraga,hasil china masters tundukkan malaysia,hasil china masters tundukkan malaysia,hasil china masters tundukkan malaysia,hasil china masters tunduk malaysia,"['hasil', 'china', 'masters', 'tunduk', 'malaysia']"
617,Hasil China Masters 2025: Putri KW Melaju ke 8 Besar,,Olahraga,hasil china masters putri kw melaju,hasil china masters putri kw melaju,hasil china masters putri kw melaju,hasil china masters putri kw laju,"['hasil', 'china', 'masters', 'putri', 'kw', 'laju']"
618,Dukungan-Pesan buat Menpora Erick Thohir dari Pengamat hingga Pemerintah,,Olahraga,menpora erick thohir pengamat pemerintah,menpora erick thohir pengamat pemerintah,menpora erick thohir pengamat pemerintah,menpora erick thohir amat perintah,"['menpora', 'erick', 'thohir', 'amat', 'perintah']"
619,"East Kemang Padel, Lapangan Strategis & Privat di Kawasan Jaksel",,Olahraga,east kemang padel lapangan strategis privat kawasan jaksel,east kemang padel lapangan strategis privat kawasan jaksel,east kemang padel lapangan strategis privat kawasan jaksel,east kemang padel lapang strategis privat kawasan jaksel,"['east', 'kemang', 'padel', 'lapang', 'strategis', 'privat', 'kawasan', 'jaksel']"
620,"Video Dito: Saya Didikan Pak Erick, Gaya Mirip tapi Mungkin Dia Lebih Galak",,Olahraga,video dito didikan erick gaya galak,video dito didikan erick gaya galak,video dito didikan erick gaya galak,video dito dik erick gaya galak,"['video', 'dito', 'dik', 'erick', 'gaya', 'galak']"
621,China Masters 2025: Fajar/Fikri Kini Bertekad Revans Lawan Malaysia,,Olahraga,china masters bertekad revans lawan malaysia,china masters bertekad revans lawan malaysia,china masters bertekad revans lawan malaysia,china masters tekad revans lawan malaysia,"['china', 'masters', 'tekad', 'revans', 'lawan', 'malaysia']"
622,Video: Momen Dito Ariotedjo Resmi Serahkan Jabatan Menpora ke Erick Thohir,,Olahraga,video momen dito ariotedjo resmi serahkan jabatan menpora erick thohir,video momen dito ariotedjo resmi serahkan jabatan menpora erick thohir,video momen dito ariotedjo resmi serahkan jabatan menpora erick thohir,video momen dito ariotedjo resmi serah jabat menpora erick thohir,"['video', 'momen', 'dito', 'ariotedjo', 'resmi', 'serah', 'jabat', 'menpora', 'erick', 'thohir']"
623,Video Menpora Erick Thohir: Jangan Tanya Keberpihakan Saya Pada Olahraga,,Olahraga,video menpora erick thohir keberpihakan olahraga,video menpora erick thohir keberpihakan olahraga,video menpora erick thohir keberpihakan olahraga,video menpora erick thohir pihak olahraga,"['video', 'menpora', 'erick', 'thohir', 'pihak', 'olahraga']"
624,"China Masters 2025: Fajar/Fikri Menang Comeback, Lolos ke 8 Besar",,Olahraga,china masters menang comeback lolos,china masters menang comeback lolos,china masters menang comeback lolos,china masters menang comeback lolos,"['china', 'masters', 'menang', 'comeback', 'lolos']"
625,China Masters 2025: Jonatan Christie Kandas di Babak 16 Besar,,Olahraga,china masters jonatan christie kandas babak,china masters jonatan christie kandas babak,china masters jonatan christie kandas babak,china masters jonatan christie kandas babak,"['china', 'masters', 'jonatan', 'christie', 'kandas', 'babak']"
626,"Dito Serahkan Jabatan ke Erick Thohir, Disaksikan Deretan Mantan Menpora",,Olahraga,dito serahkan jabatan erick thohir disaksikan deretan mantan menpora,dito serahkan jabatan erick thohir disaksikan deretan mantan menpora,dito serahkan jabatan erick thohir disaksikan deretan mantan menpora,dito serah jabat erick thohir saksi deret mantan menpora,"['dito', 'serah', 'jabat', 'erick', 'thohir', 'saksi', 'deret', 'mantan', 'menpora']"
627,Janji Menpora Erick Thohir: Tak Berpihak Pada Satu Cabor,,Olahraga,janji menpora erick thohir berpihak cabor,janji menpora erick thohir berpihak cabor,janji menpora erick thohir berpihak cabor,janji menpora erick thohir pihak cabor,"['janji', 'menpora', 'erick', 'thohir', 'pihak', 'cabor']"
628,China Masters 2025: Jafar/Feli Masih Kesulitan Taklukkan Chen/Toh,,Olahraga,china masters kesulitan taklukkan,china masters kesulitan taklukkan,china masters kesulitan taklukkan,china masters sulit takluk,"['china', 'masters', 'sulit', 'takluk']"
629,Sambutan Pertama Erick Thohir Usai Resmi Jadi Menpora,,Olahraga,sambutan erick thohir resmi menpora,sambutan erick thohir resmi menpora,sambutan erick thohir resmi menpora,sambut erick thohir resmi menpora,"['sambut', 'erick', 'thohir', 'resmi', 'menpora']"
630,Optimisme Perbasi pada Menpora Erick Thohir,,Olahraga,optimisme perbasi menpora erick thohir,optimisme perbasi menpora erick thohir,optimisme perbasi menpora erick thohir,optimisme basi menpora erick thohir,"['optimisme', 'basi', 'menpora', 'erick', 'thohir']"
631,Ayo Serbu Promo Eksklusif Tiket Benteng Run: Color Run Festival 2025!,,Olahraga,ayo serbu promo eksklusif tiket benteng run color run festival,ayo serbu promo eksklusif tiket benteng run color run festival,ayo serbu promo eksklusif tiket benteng run color run festival,ayo serbu promo eksklusif tiket benteng run color run festival,"['ayo', 'serbu', 'promo', 'eksklusif', 'tiket', 'benteng', 'run', 'color', 'run', 'festival']"
632,Fest Padel Arena: Ketika Komunitas dan Artis Unjuk Kemampuan,,Olahraga,fest padel arena komunitas artis unjuk kemampuan,fest padel arena komunitas artis unjuk kemampuan,fest padel arena komunitas artis unjuk kemampuan,fest padel arena komunitas artis unjuk mampu,"['fest', 'padel', 'arena', 'komunitas', 'artis', 'unjuk', 'mampu']"
633,Hasil Gemilang Kejuaraan Dunia Senior BWF Diharapkan Menular ke Pelatnas,,Olahraga,hasil gemilang kejuaraan dunia senior bwf diharapkan menular pelatnas,hasil gemilang kejuaraan dunia senior bwf diharapkan menular pelatnas,hasil gemilang kejuaraan dunia senior bwf diharapkan menular pelatnas,hasil gemilang juara dunia senior bwf harap tular pelatnas,"['hasil', 'gemilang', 'juara', 'dunia', 'senior', 'bwf', 'harap', 'tular', 'pelatnas']"
634,Filipina dan AS Dapat Pelajaran Berharga di Superliga Junior 2025,,Olahraga,filipina as pelajaran berharga superliga junior,filipina as pelajaran berharga superliga junior,filipina as pelajaran berharga superliga junior,filipina as ajar harga superliga junior,"['filipina', 'as', 'ajar', 'harga', 'superliga', 'junior']"
635,Hasil China Masters 2025: Leo/Bagas Menang Rubber Game,,Olahraga,hasil china masters menang rubber game,hasil china masters menang rubber game,hasil china masters menang rubber game,hasil china masters menang rubber game,"['hasil', 'china', 'masters', 'menang', 'rubber', 'game']"
636,Harapan Insan Olahraga pada Menpora Erick Thohir,,Olahraga,harapan insan olahraga menpora erick thohir,harapan insan olahraga menpora erick thohir,harapan insan olahraga menpora erick thohir,harap insan olahraga menpora erick thohir,"['harap', 'insan', 'olahraga', 'menpora', 'erick', 'thohir']"
637,China Masters 2025: Jonatan Christie Antisipasi Lin Chun-Yi,,Olahraga,china masters jonatan christie antisipasi lin,china masters jonatan christie antisipasi lin,china masters jonatan christie antisipasi lin,china masters jonatan christie antisipasi lin,"['china', 'masters', 'jonatan', 'christie', 'antisipasi', 'lin']"
638,"Hasil China Masters 2025: Comeback, Rachel/Febi Atasi Ganda Jepang",,Olahraga,hasil china masters comeback atasi ganda jepang,hasil china masters comeback atasi ganda jepang,hasil china masters comeback atasi ganda jepang,hasil china masters comeback atas ganda jepang,"['hasil', 'china', 'masters', 'comeback', 'atas', 'ganda', 'jepang']"
639,Erick Thohir: Olahraga Harus Jadi Alat Pemersatu Bangsa,,Olahraga,erick thohir olahraga alat pemersatu bangsa,erick thohir olahraga alat pemersatu bangsa,erick thohir olahraga alat pemersatu bangsa,erick thohir olahraga alat satu bangsa,"['erick', 'thohir', 'olahraga', 'alat', 'satu', 'bangsa']"
640,Rekam Jejak Menpora Baru Erick Thohir di Dunia Olahraga,,Olahraga,rekam jejak menpora erick thohir dunia olahraga,rekam jejak menpora erick thohir dunia olahraga,rekam jejak menpora erick thohir dunia olahraga,rekam jejak menpora erick thohir dunia olahraga,"['rekam', 'jejak', 'menpora', 'erick', 'thohir', 'dunia', 'olahraga']"
641,Erick Thohir Sah Dilantik Jadi Menpora Baru,,Olahraga,erick thohir sah dilantik menpora,erick thohir sah dilantik menpora,erick thohir sah dilantik menpora,erick thohir sah lantik menpora,"['erick', 'thohir', 'sah', 'lantik', 'menpora']"
642,Hasil China Masters 2025: Jonatan Menangi Duel Ketat Lawan Wakil Jepang,,Olahraga,hasil china masters jonatan menangi duel ketat lawan wakil jepang,hasil china masters jonatan menangi duel ketat lawan wakil jepang,hasil china masters jonatan menangi duel ketat lawan wakil jepang,hasil china masters jonatan tang duel ketat lawan wakil jepang,"['hasil', 'china', 'masters', 'jonatan', 'tang', 'duel', 'ketat', 'lawan', 'wakil', 'jepang']"
643,PR Anthony Ginting usai Kandas Lagi di Babak Awal,,Olahraga,pr anthony ginting kandas babak,pr anthony ginting kandas babak,pr anthony ginting kandas babak,pr anthony ginting kandas babak,"['pr', 'anthony', 'ginting', 'kandas', 'babak']"
644,"Kalah, Alwi Farhan 'Terganggu' Permainan Li Shi Feng",,Olahraga,kalah alwi farhan permainan li shi feng,kalah alwi farhan permainan li shi feng,kalah alwi farhan permainan li shi feng,kalah alwi farhan main li shi feng,"['kalah', 'alwi', 'farhan', 'main', 'li', 'shi', 'feng']"
645,Hasil China Masters 2025: Adnan/Indah Kalah Dua Gim Langsung,,Olahraga,hasil china masters kalah gim langsung,hasil china masters kalah gim langsung,hasil china masters kalah gim langsung,hasil china masters kalah gim langsung,"['hasil', 'china', 'masters', 'kalah', 'gim', 'langsung']"
646,China Masters 2025: Misi Revans Jafar/Felisha Lawan Chen/Toh,,Olahraga,china masters misi revans lawan,china masters misi revans lawan,china masters misi revans lawan,china masters misi revans lawan,"['china', 'masters', 'misi', 'revans', 'lawan']"
647,China Masters 2025: Anthony Ginting Disingkirkan Wakil Malaysia,,Olahraga,china masters anthony ginting disingkirkan wakil malaysia,china masters anthony ginting disingkirkan wakil malaysia,china masters anthony ginting disingkirkan wakil malaysia,china masters anthony ginting singkir wakil malaysia,"['china', 'masters', 'anthony', 'ginting', 'singkir', 'wakil', 'malaysia']"
648,"Hasil China Masters 2025: Alwi Tersingkir, Jafar/Felisha ke Babak 2",,Olahraga,hasil china masters alwi tersingkir babak,hasil china masters alwi tersingkir babak,hasil china masters alwi tersingkir babak,hasil china masters alwi singkir babak,"['hasil', 'china', 'masters', 'alwi', 'singkir', 'babak']"
649,Erick Thohir Dilantik Jadi Menpora Baru Siang Ini?,,Olahraga,erick thohir dilantik menpora siang,erick thohir dilantik menpora siang,erick thohir dilantik menpora siang,erick thohir lantik menpora siang,"['erick', 'thohir', 'lantik', 'menpora', 'siang']"
650,Pecco Bagnaia dan Ducati Mulai Hilang Kesabaran,,Olahraga,pecco bagnaia ducati hilang kesabaran,pecco bagnaia ducati hilang kesabaran,pecco bagnaia ducati hilang kesabaran,pecco bagnaia ducati hilang sabar,"['pecco', 'bagnaia', 'ducati', 'hilang', 'sabar']"
651,"IOC: Israel Patuhi Piagam Olimpiade, Tak Bakal Kena Sanksi",,Olahraga,ioc israel patuhi piagam olimpiade kena sanksi,ioc israel patuhi piagam olimpiade kena sanksi,ioc israel patuhi piagam olimpiade kena sanksi,ioc israel patuh piagam olimpiade kena sanksi,"['ioc', 'israel', 'patuh', 'piagam', 'olimpiade', 'kena', 'sanksi']"
652,Turnamen Golf JAKIC 2025 Bergulir Awal Oktober,,Olahraga,turnamen golf jakic bergulir oktober,turnamen golf jakic bergulir oktober,turnamen golf jakic bergulir oktober,turnamen golf jakic gulir oktober,"['turnamen', 'golf', 'jakic', 'gulir', 'oktober']"
653,Diananda Bikin Torehan Sip pada Kejuaraan Dunia Panahan di Korsel,,Olahraga,diananda bikin torehan sip kejuaraan dunia panahan korsel,diananda bikin torehan sip kejuaraan dunia panahan korsel,diananda bikin torehan sip kejuaraan dunia panahan korsel,ananda bikin toreh sip juara dunia panah korsel,"['ananda', 'bikin', 'toreh', 'sip', 'juara', 'dunia', 'panah', 'korsel']"
654,Putri KW Ingin Bawa Tren Positif Kejuaraan Dunia ke China Masters,,Olahraga,putri kw bawa tren positif kejuaraan dunia china masters,putri kw bawa tren positif kejuaraan dunia china masters,putri kw bawa tren positif kejuaraan dunia china masters,putri kw bawa tren positif juara dunia china masters,"['putri', 'kw', 'bawa', 'tren', 'positif', 'juara', 'dunia', 'china', 'masters']"
655,Tekad Fajar/Fikri Lanjutkan Prestasi di China Masters,,Olahraga,tekad lanjutkan prestasi china masters,tekad lanjutkan prestasi china masters,tekad lanjutkan prestasi china masters,tekad lanjut prestasi china masters,"['tekad', 'lanjut', 'prestasi', 'china', 'masters']"
656,Perdana Ikutan Trail Run? Simak 5 Tips Ini biar Makin Siap,,Olahraga,perdana ikutan trail run simak tips biar,perdana ikutan trail run simak tips biar,perdana ikutan trail run simak tips biar,perdana ikut trail run simak tips biar,"['perdana', 'ikut', 'trail', 'run', 'simak', 'tips', 'biar']"
657,Siap Ikutan ZINC Trail Run 2025? Ini 5 Hal yang Wajib Kamu Tahu,,Olahraga,ikutan zinc trail run wajib,ikutan zinc trail run wajib,ikutan zinc trail run wajib,ikut zinc trail run wajib,"['ikut', 'zinc', 'trail', 'run', 'wajib']"
658,"Hadiah Total Rp 92 Juta Menanti, Ikuti ZINC Trail Run 2025 di Bali",,Olahraga,hadiah total rp juta ikuti zinc trail run bali,hadiah total rp juta ikuti zinc trail run bali,hadiah total rp juta ikuti zinc trail run bali,hadiah total rp juta ikut zinc trail run bal,"['hadiah', 'total', 'rp', 'juta', 'ikut', 'zinc', 'trail', 'run', 'bal']"
659,Fun Match Perdana Padel Connect! Serunya Main Bareng Komunitas Jakarta,,Olahraga,fun match perdana padel connect serunya main bareng komunitas jakarta,fun match perdana padel connect serunya main bareng komunitas jakarta,fun match perdana padel connect serunya main bareng komunitas jakarta,fun match perdana padel connect seru main bareng komunitas jakarta,"['fun', 'match', 'perdana', 'padel', 'connect', 'seru', 'main', 'bareng', 'komunitas', 'jakarta']"
660,Hasil China Masters 2025: Putri KW Menang Dua Gim Langsung,,Olahraga,hasil china masters putri kw menang gim langsung,hasil china masters putri kw menang gim langsung,hasil china masters putri kw menang gim langsung,hasil china masters putri kw menang gim langsung,"['hasil', 'china', 'masters', 'putri', 'kw', 'menang', 'gim', 'langsung']"
661,China Masters 2025: Fajar/Fikri Menang Straight Game di Laga Pertama,,Olahraga,china masters menang straight game laga,china masters menang straight game laga,china masters menang straight game laga,china masters menang straight game laga,"['china', 'masters', 'menang', 'straight', 'game', 'laga']"
662,Kata Rian/Yere Usai Jalani Debut di China Masters 2025,,Olahraga,jalani debut china masters,jalani debut china masters,jalani debut china masters,jalan debut china masters,"['jalan', 'debut', 'china', 'masters']"
663,KOI Kerja Sama dengan NOC Jepang Jajaki Pertukaran Atlet dan Pelatih,,Olahraga,koi kerja noc jepang jajaki pertukaran atlet pelatih,koi kerja noc jepang jajaki pertukaran atlet pelatih,koi kerja noc jepang jajaki pertukaran atlet pelatih,koi kerja noc jepang jajak tukar atlet latih,"['koi', 'kerja', 'noc', 'jepang', 'jajak', 'tukar', 'atlet', 'latih']"
664,Hasil China Masters 2025: Rian/Yere Kalah Rubber Game,,Olahraga,hasil china masters kalah rubber game,hasil china masters kalah rubber game,hasil china masters kalah rubber game,hasil china masters kalah rubber game,"['hasil', 'china', 'masters', 'kalah', 'rubber', 'game']"
665,Lanny/Tiwi Berharap Jauh Lebih Padu,,Olahraga,berharap padu,berharap padu,berharap padu,harap padu,"['harap', 'padu']"
666,Sabar/Reza Banyak Mati Sendiri,,Olahraga,mati,mati,mati,mati,['mati']
667,Hasil China Masters 2025: Lanny/Tiwi Dikalahkan Juara Dunia,,Olahraga,hasil china masters dikalahkan juara dunia,hasil china masters dikalahkan juara dunia,hasil china masters dikalahkan juara dunia,hasil china masters kalah juara dunia,"['hasil', 'china', 'masters', 'kalah', 'juara', 'dunia']"
668,Pameran Take a Break Hadirkan Kisah Emosi di Dunia Olahraga,,Olahraga,pameran take a break hadirkan kisah emosi dunia olahraga,pameran take a break hadirkan kisah emosi dunia olahraga,pameran take a break hadirkan kisah emosi dunia olahraga,pamer take a break hadir kisah emosi dunia olahraga,"['pamer', 'take', 'a', 'break', 'hadir', 'kisah', 'emosi', 'dunia', 'olahraga']"
669,"Hasil China Masters 2025: Kena Tikung, Sabar/Reza Tersingkir",,Olahraga,hasil china masters kena tikung tersingkir,hasil china masters kena tikung tersingkir,hasil china masters kena tikung tersingkir,hasil china masters kena tikung singkir,"['hasil', 'china', 'masters', 'kena', 'tikung', 'singkir']"
670,Sunset Run 2025: Lari Sambil Menjaga Bumi dari Sampah Elektronik,,Olahraga,sunset run lari menjaga bumi sampah elektronik,sunset run lari menjaga bumi sampah elektronik,sunset run lari menjaga bumi sampah elektronik,sunset run lari jaga bumi sampah elektronik,"['sunset', 'run', 'lari', 'jaga', 'bumi', 'sampah', 'elektronik']"
671,Superliga Junior 2025 Diikuti 8 Negara,,Olahraga,superliga junior diikuti negara,superliga junior diikuti negara,superliga junior diikuti negara,superliga junior ikut negara,"['superliga', 'junior', 'ikut', 'negara']"
672,Tekad Jonatan Christie Kembali Naik Podium di China Masters,,Olahraga,tekad jonatan christie podium china masters,tekad jonatan christie podium china masters,tekad jonatan christie podium china masters,tekad jonatan christie podium china masters,"['tekad', 'jonatan', 'christie', 'podium', 'china', 'masters']"
673,"Diikuti Tim Israel, Kejuaraan Sepeda di Spanyol Didemo Besar-besaran",,Olahraga,diikuti tim israel kejuaraan sepeda spanyol didemo,diikuti tim israel kejuaraan sepeda spanyol didemo,diikuti tim israel kejuaraan sepeda spanyol didemo,ikut tim israel juara sepeda spanyol demo,"['ikut', 'tim', 'israel', 'juara', 'sepeda', 'spanyol', 'demo']"
674,PBSI Kirim Dejan/Bernadine ke Indonesia Masters di Pekanbaru,,Olahraga,pbsi kirim indonesia masters pekanbaru,pbsi kirim indonesia masters pekanbaru,pbsi kirim indonesia masters pekanbaru,pbsi kirim indonesia masters pekanbaru,"['pbsi', 'kirim', 'indonesia', 'masters', 'pekanbaru']"
675,Marc Marquez Terus Dekati Rekor Valentino Rossi,,Olahraga,marc marquez dekati rekor valentino rossi,marc marquez dekati rekor valentino rossi,marc marquez dekati rekor valentino rossi,marc marquez dekat rekor valentino rossi,"['marc', 'marquez', 'dekat', 'rekor', 'valentino', 'rossi']"
676,Misi Alex Marquez Cegah Marc Marquez Juara Dunia di Jepang,,Olahraga,misi alex marquez cegah marc marquez juara dunia jepang,misi alex marquez cegah marc marquez juara dunia jepang,misi alex marquez cegah marc marquez juara dunia jepang,misi alex marquez cegah marc marquez juara dunia jepang,"['misi', 'alex', 'marquez', 'cegah', 'marc', 'marquez', 'juara', 'dunia', 'jepang']"
677,Bagnaia Sedang Jalani Mimpi Buruk,,Olahraga,bagnaia jalani mimpi buruk,bagnaia jalani mimpi buruk,bagnaia jalani mimpi buruk,bagnaia jalan mimpi buruk,"['bagnaia', 'jalan', 'mimpi', 'buruk']"
678,"Video: 29 Menit Tahan Napas di Air, Freediver Ini Pecahkan Rekor Dunia!",,Olahraga,video menit tahan napas air freediver pecahkan rekor dunia,video menit tahan napas air freediver pecahkan rekor dunia,video menit tahan napas air freediver pecahkan rekor dunia,video menit tahan napas air freediver pecah rekor dunia,"['video', 'menit', 'tahan', 'napas', 'air', 'freediver', 'pecah', 'rekor', 'dunia']"
679,"Jelang China Masters 2025, Rionny Mainaky: Adnan/Indah Dalam Tren Positif",,Olahraga,jelang china masters rionny mainaky tren positif,jelang china masters rionny mainaky tren positif,jelang china masters rionny mainaky tren positif,jelang china masters rionny mainaky tren positif,"['jelang', 'china', 'masters', 'rionny', 'mainaky', 'tren', 'positif']"
680,Gregoria Mariska Mundur dari China Masters dan Korea Open 2025,,Olahraga,gregoria mariska mundur china masters korea open,gregoria mariska mundur china masters korea open,gregoria mariska mundur china masters korea open,gregoria mariska mundur china masters korea open,"['gregoria', 'mariska', 'mundur', 'china', 'masters', 'korea', 'open']"
681,Ganda Putri RI Diminta Perbaiki Performa di China Masters 2025,,Olahraga,ganda putri ri perbaiki performa china masters,ganda putri ri perbaiki performa china masters,ganda putri ri perbaiki performa china masters,ganda putri ri baik performa china masters,"['ganda', 'putri', 'ri', 'baik', 'performa', 'china', 'masters']"
682,"Menang di Misano, Marc Marquez Tak Mau jatuh di Lubang yang Sama",,Olahraga,menang misano marc marquez jatuh lubang,menang misano marc marquez jatuh lubang,menang misano marc marquez jatuh lubang,menang misano marc marquez jatuh lubang,"['menang', 'misano', 'marc', 'marquez', 'jatuh', 'lubang']"
683,Video: 'Pembalasan' Sempurna Marc Marquez di MotoGP San Marino,,Olahraga,video sempurna marc marquez motogp san marino,video sempurna marc marquez motogp san marino,video sempurna marc marquez motogp san marino,video sempurna marc marquez motogp san marino,"['video', 'sempurna', 'marc', 'marquez', 'motogp', 'san', 'marino']"
684,"Luar Biasa, Daisy Jepkemei Nekat Lari Hanya dengan Satu Sepatu di Kejuaraan Dunia",,Olahraga,daisy jepkemei nekat lari sepatu kejuaraan dunia,daisy jepkemei nekat lari sepatu kejuaraan dunia,daisy jepkemei nekat lari sepatu kejuaraan dunia,daisy jepkemei nekat lari sepatu juara dunia,"['daisy', 'jepkemei', 'nekat', 'lari', 'sepatu', 'juara', 'dunia']"
685,"Marc Marquez Bisa Juara di Motegi, tapi Tak Mau Menggebu-gebu",,Olahraga,marc marquez juara motegi,marc marquez juara motegi,marc marquez juara motegi,marc marquez juara motegi,"['marc', 'marquez', 'juara', 'motegi']"
686,Alasan Marc Marquez Selebrasi ala Messi di Misano,,Olahraga,alasan marc marquez selebrasi ala messi misano,alasan marc marquez selebrasi ala messi misano,alasan marc marquez selebrasi ala messi misano,alas marc marquez selebrasi ala messi misano,"['alas', 'marc', 'marquez', 'selebrasi', 'ala', 'messi', 'misano']"
687,Alex Marquez Syukuri Podium-podium di MotoGP San Marino 2025,,Olahraga,alex marquez syukuri motogp san marino,alex marquez syukuri motogp san marino,alex marquez syukuri motogp san marino,alex marquez syukur motogp san marino,"['alex', 'marquez', 'syukur', 'motogp', 'san', 'marino']"
688,Video: Momen Marc Marquez Kalahkan Bezzecchi di San Marino,,Olahraga,video momen marc marquez kalahkan bezzecchi san marino,video momen marc marquez kalahkan bezzecchi san marino,video momen marc marquez kalahkan bezzecchi san marino,video momen marc marquez kalah bezzecchi san marino,"['video', 'momen', 'marc', 'marquez', 'kalah', 'bezzecchi', 'san', 'marino']"
689,Super Street Night Race: B16 team x AP Speed Rajai Seri Kelima,,Olahraga,super street night race team x ap speed rajai seri,super street night race team x ap speed rajai seri,super street night race team x ap speed rajai seri,super street night race team x ap speed raja seri,"['super', 'street', 'night', 'race', 'team', 'x', 'ap', 'speed', 'raja', 'seri']"
690,Petarung Rudy 'Golden Boy' Naik Ring November,,Olahraga,petarung rudy boy ring november,petarung rudy boy ring november,petarung rudy boy ring november,tarung rudy boy ring november,"['tarung', 'rudy', 'boy', 'ring', 'november']"
691,Millennium Cup Sprint Challenge 2025 Jadi Batu Loncatan Perenang Muda,,Olahraga,millennium cup sprint challenge batu loncatan perenang muda,millennium cup sprint challenge batu loncatan perenang muda,millennium cup sprint challenge batu loncatan perenang muda,millennium cup sprint challenge batu loncat renang muda,"['millennium', 'cup', 'sprint', 'challenge', 'batu', 'loncat', 'renang', 'muda']"
692,Men's World Tennis Championship: Max Basing Juara Lagi,,Olahraga,men world tennis championship max basing juara,men world tennis championship max basing juara,men world tennis championship max basing juara,men world tennis championship max basing juara,"['men', 'world', 'tennis', 'championship', 'max', 'basing', 'juara']"
693,Pelatih Timnas Basket RI David Singleton Bagi Ilmu ke 50 Pebasket Muda,,Olahraga,pelatih timnas basket ri david singleton ilmu pebasket muda,pelatih timnas basket ri david singleton ilmu pebasket muda,pelatih timnas basket ri david singleton ilmu pebasket muda,latih timnas basket ri david singleton ilmu basket muda,"['latih', 'timnas', 'basket', 'ri', 'david', 'singleton', 'ilmu', 'basket', 'muda']"
694,'Pembalasan' Marc Marquez Usai Gagal di Sprint Race MotoGP San Marino,,Olahraga,marc marquez gagal sprint race motogp san marino,marc marquez gagal sprint race motogp san marino,marc marquez gagal sprint race motogp san marino,marc marquez gagal sprint race motogp san marino,"['marc', 'marquez', 'gagal', 'sprint', 'race', 'motogp', 'san', 'marino']"
695,Eks Juara Dunia Tinju Ricky Hatton Meninggal Dunia,,Olahraga,eks juara dunia tinju ricky hatton meninggal dunia,eks juara dunia tinju ricky hatton meninggal dunia,eks juara dunia tinju ricky hatton meninggal dunia,eks juara dunia tinju ricky hatton tinggal dunia,"['eks', 'juara', 'dunia', 'tinju', 'ricky', 'hatton', 'tinggal', 'dunia']"
696,Hendra Setiawan Rebut 2 Gelar di Kejuaraan Dunia Senior BWF 2025,,Olahraga,hendra setiawan rebut gelar kejuaraan dunia senior bwf,hendra setiawan rebut gelar kejuaraan dunia senior bwf,hendra setiawan rebut gelar kejuaraan dunia senior bwf,hendra setiawan rebut gelar juara dunia senior bwf,"['hendra', 'setiawan', 'rebut', 'gelar', 'juara', 'dunia', 'senior', 'bwf']"
697,"Video: 29 Menit Tahan Napas di Air, Freediver Ini Pecahkan Rekor Dunia!",,Olahraga,video menit tahan napas air freediver pecahkan rekor dunia,video menit tahan napas air freediver pecahkan rekor dunia,video menit tahan napas air freediver pecahkan rekor dunia,video menit tahan napas air freediver pecah rekor dunia,"['video', 'menit', 'tahan', 'napas', 'air', 'freediver', 'pecah', 'rekor', 'dunia']"
698,"Marc Marquez Lampaui Rekor Poin Jorge Martin, Sejengkal Lagi Juara Dunia",,Olahraga,marc marquez lampaui rekor poin jorge martin sejengkal juara dunia,marc marquez lampaui rekor poin jorge martin sejengkal juara dunia,marc marquez lampaui rekor poin jorge martin sejengkal juara dunia,marc marquez lampau rekor poin jorge martin jengkal juara dunia,"['marc', 'marquez', 'lampau', 'rekor', 'poin', 'jorge', 'martin', 'jengkal', 'juara', 'dunia']"
